0.0;0.665176;0.00434875
0.245407;0.637634;0.156479
0.245407;0.637634;0.156479
0.782227;0.637115;0.498367
1.23595;0.637115;0.78743
1.61464;0.632446;1.02116
1.93188;0.616867;1.19171
2.2028;0.610107;1.34393
2.42841;0.613739;1.4904
2.61674;0.617386;1.61554
2.77487;0.620499;1.7218
2.94861;0.623093;1.83725
3.04982;0.626205;1.90981
3.13542;0.628296;1.95573
3.20845;0.630371;2.02251
3.26888;0.631927;2.06569
3.31973;0.633484;2.103
3.36304;0.633484;2.13042
3.40082;0.631409;2.14729
3.43153;0.628296;2.15601
3.45973;0.625687;2.1647
3.4839;0.622574;2.16898
3.50304;0.619461;2.16998
3.52217;0.616348;2.17088
3.54433;0.612183;2.16977
3.57001;0.605957;2.16327
3.60275;0.597641;2.15315
3.64001;0.586212;2.13382
3.68835;0.570114;2.10277
3.74878;0.546738;2.04959
3.82433;0.514542;1.96777
3.91798;0.468307;1.83481
4.03734;0.402863;1.62648
4.15819;0.328583;1.3663
4.21268;0.298965;1.25943
4.27415;0.265732;1.13577
4.31841;0.232483;1.00395
4.36159;0.199234;0.868973
4.40614;0.166;0.731415
4.45145;0.12912;0.574768
4.49623;0.0974274;0.438049
4.54047;0.0662689;0.300888
4.58319;0.03302;0.151337
4.62585;0.0;0.0
